43,65,4,11,42,75,45,5,68,3,20,29,93,71,36,23,17,35,60,89,51,37,66,2,1,72,69,63,28,80,87,15,74,40,57,67,73,62,92,59,78,9,58,77,16,81,18,70,84,76,64,7,61,6,44,8,79,91,83,10,90,24,19,27,30,21,39,55,38,14,88,41,32,0,25,22,31,86,13,26,85,56,33,34,82,12,52,53,49,50,54,46,47,48,
43,65,4,11,42,75,45,8,68,3,20,29,61,93,36,19,21,35,89,54,66,1,2,37,60,87,72,80,28,69,63,92,10,64,79,78,74,7,6,39,84,83,62,44,15,57,73,77,9,59,91,16,58,70,81,76,5,18,71,67,90,24,17,27,30,23,40,51,38,14,32,88,0,41,31,25,22,86,12,26,85,49,33,34,13,82,53,50,55,52,56,46,47,48,
43,65,4,11,42,75,45,7,68,1,29,20,61,93,36,17,21,35,90,56,60,37,2,3,66,87,72,63,28,80,69,67,57,77,18,64,39,10,6,83,76,78,62,71,9,74,92,14,16,91,79,59,70,58,81,84,44,8,73,5,27,24,88,19,40,30,23,86,52,38,32,41,15,0,25,89,22,31,12,26,49,82,33,34,13,85,53,50,51,55,54,46,47,48,
43,65,4,11,42,75,45,6,68,1,20,29,61,93,36,23,17,35,88,50,66,37,60,2,3,63,28,72,69,87,80,67,58,64,9,44,70,76,57,91,73,18,74,78,8,83,84,40,16,7,79,92,10,15,81,5,77,62,71,59,90,24,19,27,30,39,21,55,38,14,32,41,0,89,25,22,31,13,86,26,85,51,33,34,12,82,56,54,52,53,49,46,47,48,
43,65,4,11,42,75,45,9,68,29,3,20,71,93,36,17,21,35,52,1,90,66,37,60,2,80,72,87,63,69,28,67,79,70,7,64,58,81,59,84,10,15,73,92,74,41,6,57,78,77,8,16,61,44,18,5,62,91,83,76,27,24,89,19,40,30,23,86,55,38,14,0,32,39,22,88,25,13,26,51,82,31,33,34,12,85,56,54,53,49,50,46,47,48,
43,65,4,11,42,75,45,6,68,1,20,29,61,93,36,17,23,35,54,60,3,89,66,2,37,69,87,63,80,28,72,5,64,79,76,84,67,44,58,73,40,9,62,91,18,92,10,83,78,77,15,71,74,7,70,81,16,57,59,8,90,24,19,27,30,39,21,52,38,14,0,88,32,41,25,22,31,12,86,26,85,49,33,34,82,13,50,51,56,55,53,46,47,48,
43,65,4,11,42,75,45,8,68,29,3,20,61,93,36,21,19,35,37,60,56,89,66,2,1,28,87,80,63,72,69,91,10,84,73,15,74,76,62,58,92,79,16,39,67,78,18,83,70,71,5,81,64,57,9,44,59,77,7,6,90,24,17,27,30,23,40,52,38,14,31,0,41,22,88,25,32,86,12,26,85,49,33,34,13,82,50,54,55,51,53,46,47,48,
43,65,4,11,42,75,45,10,68,1,20,29,93,61,36,21,19,35,60,54,3,37,89,66,2,28,69,63,80,87,72,91,39,59,15,83,67,64,57,74,84,9,18,78,5,76,81,58,71,16,79,6,77,73,8,7,62,70,92,44,90,24,17,27,30,23,40,49,38,14,32,88,86,0,41,25,22,31,13,26,85,56,82,33,34,12,51,50,53,52,55,46,47,48,
43,65,4,11,42,75,45,9,68,1,20,29,61,93,36,17,21,35,88,54,37,2,66,60,3,87,80,63,28,72,69,77,15,44,67,74,76,6,57,70,41,16,84,92,64,5,59,18,58,79,83,81,71,10,73,91,8,7,78,62,90,24,19,27,30,23,40,51,38,14,31,0,89,22,39,26,86,12,25,32,85,49,33,34,82,13,50,55,52,56,53,46,47,48,
43,65,4,11,42,75,45,8,68,3,20,29,71,93,36,23,17,35,52,90,2,1,66,37,60,87,80,72,63,69,28,84,9,10,58,14,91,67,79,62,39,78,6,81,44,57,70,73,18,77,92,7,5,74,61,64,59,83,76,16,27,24,88,19,40,30,86,21,50,38,32,41,0,15,25,89,22,31,12,26,54,82,33,34,13,85,49,51,53,56,55,46,47,48,
