8,42,82,36,59,0,72,81,3,71,13,78,25,83,76,26,80,1,32,11,12,77,4,27,7,39,41,30,40,46,37,43,45,44,38,53,2,9,16,31,51,19,74,20,55,65,49,35,75,17,14,23,24,18,63,21,10,15,67,22,68,58,60,56,5,47,34,79,48,73,70,64,6,54,62,69,33,52,28,57,61,50,66,29,
64,38,39,83,4,74,0,81,6,30,11,72,78,82,32,7,12,77,80,55,27,3,40,2,41,26,42,62,43,76,25,37,46,36,44,45,9,1,16,31,19,71,54,20,67,75,17,60,14,47,35,23,24,18,58,21,13,68,15,52,22,10,59,48,5,34,56,79,57,49,73,70,65,53,8,69,51,33,29,63,61,50,66,28,
51,46,37,83,3,71,0,81,6,72,13,28,82,78,26,32,1,65,80,12,25,27,77,4,76,7,39,22,41,55,40,36,45,42,44,43,38,31,19,2,9,54,24,74,17,60,75,59,23,18,35,47,16,20,21,52,67,11,15,68,14,10,58,56,48,5,34,79,49,73,70,64,69,53,8,62,33,57,30,63,61,50,66,29,
47,44,0,61,74,83,37,4,8,73,81,78,27,30,5,82,21,80,77,3,32,12,76,2,39,40,41,26,36,25,43,45,42,46,38,1,65,9,16,14,31,13,71,17,75,67,35,55,54,20,24,53,15,19,60,18,58,68,11,23,52,22,10,59,56,48,34,7,79,49,72,70,64,6,69,33,57,51,50,29,63,62,66,28,
66,41,3,36,83,82,77,81,11,0,70,8,79,25,80,4,12,7,76,32,74,29,39,26,2,40,27,42,44,50,45,46,38,43,37,54,1,16,9,31,55,19,71,20,75,17,65,14,48,35,23,24,18,67,60,21,13,15,58,52,22,10,59,56,47,5,34,78,49,69,72,73,64,6,53,33,57,51,61,30,63,62,68,28,
42,24,81,82,38,71,0,3,65,6,19,73,83,78,32,12,80,76,1,51,5,77,4,39,27,41,40,43,55,26,37,45,36,44,54,46,13,9,2,30,31,25,74,20,59,75,17,23,60,35,14,47,16,18,21,52,67,11,15,68,22,10,58,56,7,48,34,79,49,72,70,64,8,69,53,62,33,57,28,63,61,50,66,29,
41,7,83,38,74,81,82,0,3,79,32,70,10,31,8,23,25,80,56,1,76,77,40,4,26,39,51,45,30,42,43,44,36,46,37,16,2,55,27,9,71,17,60,54,13,58,75,19,20,14,35,47,24,18,67,21,68,11,15,52,22,34,12,59,65,48,5,78,49,72,73,64,6,69,53,62,33,57,28,63,61,50,66,29,
25,82,41,36,81,74,3,0,8,54,70,83,78,13,40,26,76,80,32,2,12,27,77,4,39,7,67,42,30,46,43,38,44,45,62,37,19,1,9,16,31,75,20,56,71,48,17,23,14,55,35,24,18,58,60,21,68,11,15,52,22,10,59,65,47,5,34,79,49,72,73,64,6,69,53,51,33,57,29,63,61,50,66,28,
74,43,1,33,37,83,8,0,76,81,82,78,13,73,25,7,80,12,3,27,65,77,61,26,39,38,4,40,55,44,41,30,36,46,2,45,42,19,24,53,71,20,59,75,17,31,23,60,32,14,16,9,47,18,21,52,67,11,15,68,22,10,58,56,48,5,79,49,72,70,34,64,6,69,54,35,57,51,50,28,63,62,66,29,
44,72,82,2,38,34,0,8,81,77,22,78,83,7,80,11,56,76,3,36,25,74,55,4,40,26,45,27,41,39,51,43,46,28,42,37,1,24,71,19,60,54,31,75,17,12,16,59,18,32,47,23,20,21,9,52,67,13,15,10,68,14,58,65,48,5,35,79,49,73,70,64,6,69,53,62,33,57,30,63,61,50,66,29,
71,41,83,2,37,81,18,56,73,27,0,6,82,78,7,34,80,3,13,77,26,25,4,39,40,76,55,15,44,51,43,36,38,24,46,42,10,74,45,1,29,63,31,54,75,47,17,32,20,21,16,19,14,33,59,9,11,23,67,22,12,68,58,60,65,48,5,79,49,72,61,70,64,8,53,69,35,52,50,30,57,62,66,28,
80,40,82,37,1,0,71,81,8,70,33,23,12,83,25,78,54,14,42,7,64,26,51,77,3,39,4,46,45,43,41,36,38,44,76,75,27,2,55,24,31,29,59,17,74,13,19,60,20,48,69,32,16,9,52,18,11,21,15,22,10,47,5,67,56,58,79,49,66,72,73,34,65,6,53,62,35,57,30,63,61,50,68,28,
50,39,11,36,83,75,0,78,3,70,76,8,25,81,82,7,32,12,80,26,1,4,77,40,41,65,27,44,30,46,38,37,45,42,43,55,2,9,16,54,19,20,71,31,74,59,17,18,60,35,47,23,24,14,21,52,66,67,13,15,58,10,22,56,48,5,34,79,49,69,73,72,64,6,53,33,57,51,61,28,63,62,68,29,
58,44,38,83,4,81,71,8,0,13,70,82,79,74,25,39,76,5,80,12,32,27,54,77,2,26,40,3,30,19,41,46,43,45,36,37,42,1,9,16,55,31,62,20,17,75,56,14,22,23,47,35,60,24,67,21,68,18,11,15,52,10,59,65,48,7,50,34,78,49,73,72,64,6,69,53,33,57,51,28,63,61,66,29,
80,82,38,44,0,2,8,19,71,73,28,65,81,32,3,77,78,4,76,83,12,51,27,40,7,39,41,55,26,46,45,37,13,43,36,42,25,1,16,9,54,31,74,20,60,67,17,75,23,35,14,47,66,24,18,21,11,15,58,52,22,10,59,56,48,5,34,79,49,69,72,70,64,6,53,62,33,57,30,63,61,50,68,29,
78,2,44,36,83,18,0,6,74,59,81,82,70,17,80,3,27,21,39,32,77,42,46,25,4,76,1,41,40,38,37,43,45,54,26,9,12,31,51,15,61,24,13,71,5,28,65,55,75,60,22,35,47,16,19,20,52,67,11,23,68,14,10,58,56,79,49,50,7,34,48,73,72,64,8,69,53,33,57,30,63,62,66,29,
47,37,39,83,3,71,6,0,27,81,70,78,82,24,5,76,1,80,12,13,32,77,41,4,40,44,26,42,43,45,46,36,56,38,19,2,9,28,31,25,51,18,74,67,75,23,17,22,35,55,54,60,16,58,20,21,49,68,11,15,52,14,10,59,65,7,34,79,48,73,72,64,8,69,53,62,33,57,30,63,61,50,66,29,
43,59,38,83,3,75,73,0,81,6,11,30,82,79,7,44,80,2,32,12,76,26,40,27,39,4,41,36,68,54,77,46,25,37,9,42,45,1,16,31,51,74,19,22,55,71,17,48,18,65,35,23,24,20,60,67,21,13,15,52,14,10,58,56,47,5,34,78,49,72,70,64,8,69,53,62,33,57,29,63,61,50,66,28,
