GreedyTotal,GreedyAdditional,FICBPL_E,UnifyGreedy,ARTMaxMin,Genetic,PAdditional5
0.57575,0.937375,0.9566875,0.849875,0.926625,0.9458125000000001,0.93825
0.575875,0.9335625,0.9566875,0.849875,0.941625,0.9213749999999999,0.92825
0.5755625,0.9319375,0.9566875,0.849875,0.92175,0.935875,0.93975
0.5759375,0.927375,0.9566875,0.849875,0.9060625,0.963875,0.96
0.5756249999999999,0.928,0.9566875,0.849875,0.947,0.9416875,0.9271874999999999
0.5749375,0.92625,0.9566875,0.849875,0.9320625,0.92475,0.951375
0.5753750000000001,0.94175,0.9566875,0.849875,0.94575,0.9094375,0.935875
0.575125,0.93925,0.9566875,0.849875,0.9399375,0.939125,0.948375
0.57575,0.925875,0.9566875,0.849875,0.9400625,0.9321875000000001,0.935625
0.5751875000000001,0.9309375,0.9566875,0.849875,0.9306875,0.9485,0.9349999999999999
0.5756875,0.940875,0.9566875,0.849875,0.9336875,0.936875,0.9269375
0.5755625,0.930625,0.9566875,0.849875,0.9613125,0.89175,0.94175
0.5754374999999999,0.943875,0.9566875,0.849875,0.9366875,0.9329999999999999,0.954375
0.5756249999999999,0.9385,0.9566875,0.849875,0.947625,0.9461875,0.93
0.575875,0.9295625,0.9566875,0.849875,0.9235625,0.93875,0.9289375
0.5758125,0.9191875,0.9566875,0.849875,0.932875,0.92625,0.9356875
0.5758125,0.92775,0.9566875,0.849875,0.9444375,0.9300625,0.9431875
0.5755625,0.9209375,0.9566875,0.849875,0.943125,0.9633125,0.9606875
0.5754374999999999,0.947125,0.9566875,0.849875,0.9298125,0.9290625,0.945125
0.575875,0.929125,0.9566875,0.849875,0.9311875,0.9250625,0.9614375000000001
0.57575,0.9214375,0.9566875,0.849875,0.9441875,0.939375,0.946125
0.5760625,0.9249375,0.9566875,0.849875,0.9316875,0.9538125,0.9568125
0.5754374999999999,0.924125,0.9566875,0.849875,0.9370625,0.9330625,0.9349999999999999
0.5758125,0.936375,0.9566875,0.849875,0.9345625,0.94225,0.9408125
0.5753750000000001,0.916625,0.9566875,0.849875,0.9155625,0.9390625,0.92325
0.5753125,0.9189375,0.9566875,0.849875,0.929375,0.9451875,0.934375
0.5755625,0.9285,0.9566875,0.849875,0.9429375,0.9254375,0.9378125
0.5754374999999999,0.93075,0.9566875,0.849875,0.919125,0.9353125,0.9444375
0.576125,0.9509375,0.9566875,0.849875,0.937125,0.9435,0.93225
0.5751875000000001,0.948875,0.9566875,0.849875,0.9213125,0.9298125,0.94175
0.5752499999999999,0.926875,0.9566875,0.849875,0.905625,0.9515,0.9576250000000001
0.5755625,0.9286875,0.9566875,0.849875,0.94225,0.9110625,0.940875
0.5753750000000001,0.9273125,0.9566875,0.849875,0.9265,0.9445625,0.9581875
0.5752499999999999,0.92925,0.9566875,0.849875,0.93575,0.913125,0.9465
0.5756875,0.9398125,0.9566875,0.849875,0.93775,0.9205,0.9300625
0.5760625,0.9273125,0.9566875,0.849875,0.9085,0.9303125,0.93625
0.5753125,0.9346875,0.9566875,0.849875,0.9473125,0.9280625,0.9259375
0.576,0.9295,0.9566875,0.849875,0.9380625,0.9523125,0.937375
0.5753125,0.9240625,0.9566875,0.849875,0.93,0.9510625,0.9570625
0.57575,0.9461875,0.9566875,0.849875,0.9203125,0.9319375,0.9356875
0.5754374999999999,0.9233125,0.9566875,0.849875,0.9433125,0.9529375,0.9270625
0.5756249999999999,0.9459375,0.9566875,0.849875,0.916625,0.943625,0.928875
0.575125,0.9285625,0.9566875,0.849875,0.93875,0.9030625,0.951875
0.57575,0.9296875,0.9566875,0.849875,0.9445625,0.9313125,0.9349999999999999
0.5756249999999999,0.951875,0.9566875,0.849875,0.938375,0.9343125,0.955
0.5758125,0.95025,0.9566875,0.849875,0.923375,0.9380625,0.934
0.576125,0.9285,0.9566875,0.849875,0.9173749999999999,0.94625,0.9394375
0.5754374999999999,0.94125,0.9566875,0.849875,0.9329375,0.9368125,0.935625
0.5754374999999999,0.9238125,0.9566875,0.849875,0.909375,0.9405625,0.9345625
0.5756875,0.9240625,0.9566875,0.849875,0.9436875,0.9213125,0.9395
0.5754374999999999,0.9393125,0.9566875,0.849875,0.9201875,0.9361875000000001,0.9573125
0.5756875,0.9255625,0.9566875,0.849875,0.9415625,0.9514375,0.9309375
0.5756249999999999,0.92875,0.9566875,0.849875,0.92375,0.9428124999999999,0.9410625
0.5753125,0.93775,0.9566875,0.849875,0.92275,0.9459375,0.9335
0.5754374999999999,0.9404375,0.9566875,0.849875,0.939,0.9373125,0.9359375
0.5756875,0.9273125,0.9566875,0.849875,0.9283125,0.9329999999999999,0.95975
0.5750624999999999,0.93775,0.9566875,0.849875,0.9304375,0.9518125,0.9184375
0.5754374999999999,0.925875,0.9566875,0.849875,0.92975,0.9264375,0.937375
0.5749375,0.92975,0.9566875,0.849875,0.9343125,0.94375,0.946375
0.5752499999999999,0.9319375,0.9566875,0.849875,0.9368125,0.9479375,0.9491875
0.5759375,0.931625,0.9566875,0.849875,0.9170625,0.911875,0.9329999999999999
0.5756875,0.9243750000000001,0.9566875,0.849875,0.9418125,0.9593125,0.9336875
0.5753750000000001,0.935125,0.9566875,0.849875,0.9376875,0.9260625,0.9381875000000001
0.5751875000000001,0.9230625,0.9566875,0.849875,0.9535,0.9107500000000001,0.9376875
0.5754374999999999,0.944375,0.9566875,0.849875,0.93125,0.9538125,0.9310625
0.5760625,0.9184375,0.9566875,0.849875,0.9443125,0.9354375,0.93925
0.5752499999999999,0.9175625,0.9566875,0.849875,0.9300625,0.933875,0.9398125
0.576,0.9303125,0.9566875,0.849875,0.9285625,0.9435,0.92075
0.5760625,0.9243125,0.9566875,0.849875,0.948125,0.9260625,0.9365625
0.576,0.9284375,0.9566875,0.849875,0.93725,0.9325,0.9253125
0.5753125,0.926125,0.9566875,0.849875,0.9328125,0.9523125,0.9383125
0.5756249999999999,0.924,0.9566875,0.849875,0.9434375,0.9073125,0.941
0.5755,0.9201875,0.9566875,0.849875,0.9243750000000001,0.95225,0.9385625
0.5749375,0.9359375,0.9566875,0.849875,0.910625,0.9253125,0.9576250000000001
0.5755625,0.927625,0.9566875,0.849875,0.9161875,0.9486875,0.9470625
0.576125,0.9186875,0.9566875,0.849875,0.9619375,0.94425,0.9290625
0.5760625,0.9274375,0.9566875,0.849875,0.935625,0.942375,0.948125
0.5756249999999999,0.9313125,0.9566875,0.849875,0.925875,0.926875,0.9565625
0.5758125,0.941375,0.9566875,0.849875,0.909625,0.9386875,0.943625
0.5754374999999999,0.94375,0.9566875,0.849875,0.916875,0.908375,0.9280625
0.5751875000000001,0.9251874999999999,0.9566875,0.849875,0.9373125,0.941375,0.93625
0.5759375,0.92875,0.9566875,0.849875,0.9309375,0.9281875,0.9451875
0.5760625,0.9523125,0.9566875,0.849875,0.9173749999999999,0.8989375000000001,0.93675
0.5760625,0.927875,0.9566875,0.849875,0.9153749999999999,0.9400625,0.9353125
0.5752499999999999,0.9393125,0.9566875,0.849875,0.9251874999999999,0.919625,0.93025
0.5758125,0.9281875,0.9566875,0.849875,0.941125,0.95,0.9298125
0.576,0.951375,0.9566875,0.849875,0.94225,0.9450625,0.9449375
0.574875,0.92475,0.9566875,0.849875,0.92775,0.92175,0.9385
0.5753125,0.9264375,0.9566875,0.849875,0.9439375,0.9330625,0.92225
