61,45,65,10,43,2,41,33,40,84,57,49,76,9,85,38,58,88,15,54,36,18,42,39,80,4,32,98,67,29,14,69,86,79,51,73,81,25,77,99,34,12,19,91,64,46,50,1,47,13,75,22,82,78,20,83,3,66,56,30,21,52,63,37,27,35,11,70,26,31,60,97,71,6,92,93,100,101,44,17,5,24,7,59,87,62,16,0,48,72,53,94,8,28,68,23,74,96,95,89,55,90,
61,45,38,84,43,40,41,10,57,85,33,2,49,15,9,88,39,47,14,42,76,32,54,18,58,51,29,4,36,91,67,65,25,50,34,80,22,81,79,83,99,72,21,63,98,52,86,12,19,77,1,27,37,56,60,78,20,75,97,64,0,46,82,71,3,35,100,93,13,6,87,31,30,11,73,89,66,26,55,44,53,74,59,96,5,23,70,17,48,92,62,7,16,24,94,101,28,90,69,8,68,95,
61,38,80,10,45,49,41,43,40,85,33,2,32,57,58,15,9,76,65,19,54,84,51,50,88,18,39,29,42,36,21,67,81,79,34,98,25,47,75,86,91,14,37,63,4,78,70,46,77,69,52,73,12,99,22,82,3,64,60,97,66,93,56,13,83,1,100,17,87,5,0,11,7,30,35,59,27,48,89,55,8,20,53,26,96,92,71,23,31,74,44,6,24,101,62,72,16,94,28,95,68,90,
61,45,38,10,41,2,33,43,57,9,40,85,49,15,81,58,36,79,88,54,32,39,29,76,42,72,84,18,65,67,25,21,75,22,86,34,98,23,64,50,80,4,78,47,37,91,51,82,77,3,99,63,46,1,11,70,20,52,73,83,12,14,35,93,0,66,30,56,97,13,71,59,17,31,62,5,26,100,89,60,53,8,48,27,19,44,95,24,101,74,28,94,55,92,87,90,16,6,69,96,7,68,
45,61,38,33,9,10,41,40,43,84,50,57,49,2,88,15,58,39,75,42,54,18,65,32,4,76,67,13,29,72,34,47,20,81,86,25,85,79,22,97,3,51,19,35,91,80,36,99,63,77,21,56,64,78,1,66,14,82,60,37,73,46,11,98,52,83,70,93,12,30,53,71,31,0,17,59,16,6,44,101,94,87,5,100,48,89,27,24,96,26,8,62,23,92,68,74,90,95,55,7,28,69,
61,10,45,38,33,2,84,49,41,57,58,43,40,39,9,32,15,50,54,79,98,67,76,29,85,42,25,80,65,4,88,46,81,69,86,18,47,99,19,91,3,75,51,36,44,14,13,22,34,21,30,77,78,73,35,66,60,93,63,70,12,20,71,83,100,37,1,26,82,11,52,59,53,56,74,97,31,89,48,101,7,8,64,96,92,27,6,17,68,0,5,62,87,95,16,90,23,94,24,28,55,72,
38,61,45,10,2,43,49,15,9,81,40,41,50,18,33,76,58,57,42,84,32,65,85,14,39,25,88,86,79,98,54,35,29,83,19,67,22,91,69,47,80,4,36,51,78,73,34,99,64,46,1,97,11,3,77,20,27,21,66,52,75,5,48,63,82,70,31,12,93,59,44,100,13,87,37,26,53,71,60,16,30,56,28,0,74,96,68,94,62,55,23,72,89,24,8,6,17,7,92,95,90,101,
61,45,38,83,2,41,10,40,43,50,84,9,49,58,57,29,33,39,76,88,81,25,54,18,36,32,65,79,15,85,34,4,91,42,99,86,19,47,69,82,98,37,51,14,67,64,12,21,3,22,1,77,52,46,75,80,71,20,13,63,78,100,5,73,59,70,27,35,97,30,26,11,66,6,93,56,62,92,8,53,89,60,0,90,17,24,31,94,101,7,74,48,44,95,87,16,55,68,23,72,28,96,
10,57,45,65,84,9,40,41,2,43,13,85,49,33,39,15,14,58,54,76,29,4,32,98,75,88,79,42,67,50,18,38,51,99,91,25,21,72,81,47,36,19,34,1,77,71,37,63,86,64,80,12,56,22,20,11,35,93,3,78,26,82,46,70,73,97,0,66,23,52,5,61,60,100,27,101,17,83,53,31,89,30,96,94,44,68,55,87,8,6,24,92,90,59,48,16,74,62,69,28,95,7,
45,38,57,33,10,2,13,9,41,43,40,49,58,85,88,84,75,42,32,65,15,39,18,98,25,79,29,72,21,50,76,34,14,54,4,86,67,22,51,47,93,81,23,80,99,77,64,1,46,36,20,12,82,78,66,3,35,83,56,37,73,70,91,52,63,30,71,100,60,31,97,11,101,90,68,19,27,0,89,26,48,61,53,5,8,59,62,92,74,87,96,17,95,55,7,94,69,16,44,6,24,28,
