48,54,13,9,21,12,38,78,22,55,4,70,14,82,10,7,45,11,68,0,2,52,3,17,49,6,8,23,1,36,74,44,24,5,53,16,40,28,30,27,25,43,31,73,47,60,75,19,62,29,32,72,71,65,35,81,59,69,37,56,77,57,15,34,18,20,64,51,61,58,80,76,41,33,66,39,46,42,67,63,26,79,50,
54,48,22,13,4,34,55,12,70,78,15,21,82,11,46,9,2,53,52,23,49,10,7,68,5,8,30,0,36,6,1,74,17,44,3,27,16,24,67,19,40,72,31,43,25,28,51,29,75,35,38,57,42,79,80,26,64,63,81,32,14,47,66,69,33,61,71,73,37,39,62,59,20,58,60,18,41,77,45,50,56,76,65,
54,48,78,22,12,31,10,34,15,11,55,70,82,21,13,2,6,9,7,52,49,46,23,5,1,4,0,68,24,17,3,36,8,39,28,44,16,74,26,40,30,72,80,57,19,43,29,53,65,38,27,33,81,42,50,14,59,77,25,45,63,60,37,58,35,66,61,41,64,62,75,79,71,20,67,18,69,51,56,32,76,73,47,
48,23,13,12,78,10,54,55,82,34,16,70,6,21,52,9,22,11,36,7,17,3,46,2,1,51,0,68,43,5,74,44,8,4,28,24,31,72,27,53,19,26,29,50,49,30,33,56,14,77,40,25,62,63,79,61,37,76,65,18,45,58,39,60,80,64,66,41,42,57,67,35,32,47,38,15,69,81,73,20,71,75,59,
12,48,54,13,78,22,34,4,55,14,21,70,11,10,82,9,6,52,7,46,68,2,17,0,74,49,3,5,53,8,44,1,16,31,36,24,19,25,23,43,40,45,28,29,72,69,39,27,65,38,20,57,41,66,30,67,81,63,51,59,37,56,73,71,42,64,79,58,18,62,77,61,15,26,35,76,75,50,60,32,80,47,33,
48,13,22,70,34,54,78,12,2,55,16,11,21,52,82,10,17,7,9,49,39,5,45,24,8,6,68,44,4,3,40,0,25,1,30,23,32,41,27,36,28,31,53,72,18,35,43,19,73,29,14,51,79,61,57,66,76,80,50,74,38,37,63,33,42,46,56,81,75,20,15,67,26,77,65,69,64,60,47,58,62,71,59,
48,78,54,12,13,22,10,17,11,55,34,21,73,82,16,9,6,7,5,45,52,49,68,2,74,53,4,0,24,1,8,44,23,72,70,36,3,28,31,43,30,40,29,47,27,14,67,25,19,41,20,46,50,66,35,38,26,65,79,71,76,60,39,63,69,58,62,18,37,42,51,59,56,32,80,75,57,64,81,33,77,15,61,
48,54,78,12,4,21,22,34,30,55,73,52,10,82,17,13,24,68,16,9,5,11,45,7,49,70,8,1,2,36,0,72,27,3,53,74,44,23,6,40,28,15,29,39,62,25,43,59,19,46,18,31,35,37,26,32,71,81,57,80,50,14,38,51,75,33,65,60,20,66,63,77,41,76,69,79,67,61,47,64,56,42,58,
48,22,13,54,10,55,70,12,78,34,16,21,11,17,5,52,9,4,46,82,2,68,0,8,1,23,32,49,36,44,39,30,24,6,3,43,28,40,7,29,31,26,53,72,56,73,25,27,19,79,35,58,67,60,42,41,51,75,62,15,76,80,74,61,81,37,38,20,66,64,47,77,50,45,69,71,33,18,63,57,59,65,14,
23,54,10,48,13,55,78,12,15,38,4,70,22,11,21,9,52,46,82,7,49,5,36,68,6,0,53,2,16,1,3,24,17,32,8,44,27,40,43,29,34,30,19,28,26,72,31,18,45,41,39,76,73,14,56,64,67,75,50,60,81,71,57,58,37,20,65,33,79,35,42,62,66,25,51,77,47,80,63,69,74,61,59,
54,22,48,13,12,9,70,78,38,55,4,82,16,21,10,11,46,17,5,2,52,7,49,6,23,3,40,74,1,39,68,0,8,36,31,44,24,27,19,28,29,30,72,53,34,58,43,25,56,50,66,61,71,41,14,18,75,80,79,47,32,57,67,59,15,77,60,20,63,64,73,62,35,51,69,33,42,81,37,45,76,65,26,
